,weights
4283,1.2111015591238326e-05
6324,1.2111015591238326e-05
2292,1.2505940012691748e-05
7605,1.3224672197329206e-05
7114,1.3378447455437685e-05
598,1.3696981918662391e-05
2152,1.3696981918662391e-05
823,1.3862005797200494e-05
2280,1.3862005797200494e-05
4365,1.4031054648385865e-05
1176,1.4031054648385865e-05
4363,1.4031054648385865e-05
6957,1.4031054648385865e-05
217,1.4031054648385865e-05
7365,1.4204277545279516e-05
4346,1.4204277545279516e-05
7083,1.4381831014595513e-05
582,1.4381831014595513e-05
7487,1.4381831014595513e-05
6356,1.4381831014595513e-05
4836,1.4381831014595513e-05
2921,1.4381831014595513e-05
447,1.4381831014595513e-05
2102,1.4381831014595513e-05
4872,1.4381831014595513e-05
2629,1.4563879508451151e-05
137,1.4563879508451151e-05
3040,1.4563879508451151e-05
2651,1.4563879508451151e-05
3480,1.4563879508451151e-05
2975,1.4563879508451151e-05
3392,1.4563879508451151e-05
5423,1.4750595912405653e-05
1216,1.4750595912405653e-05
798,1.4750595912405653e-05
2129,1.4750595912405653e-05
4997,1.4750595912405653e-05
6366,1.4942162093086246e-05
1985,1.4942162093086246e-05
4677,1.4942162093086246e-05
1186,1.4942162093086246e-05
5401,1.4942162093086246e-05
2960,1.5138769489047906e-05
5786,1.5138769489047906e-05
3447,1.5138769489047906e-05
501,1.5138769489047906e-05
3589,1.5138769489047906e-05
2367,1.5138769489047906e-05
3381,1.5138769489047906e-05
926,1.5138769489047906e-05
22,1.5138769489047906e-05
7167,1.5138769489047906e-05
2186,1.5138769489047906e-05
3420,1.5138769489047906e-05
715,1.5138769489047906e-05
5780,1.5138769489047906e-05
7192,1.5138769489047906e-05
3077,1.5138769489047906e-05
1100,1.534061974890188e-05
415,1.534061974890188e-05
4923,1.534061974890188e-05
3117,1.534061974890188e-05
1646,1.534061974890188e-05
2922,1.534061974890188e-05
471,1.534061974890188e-05
1463,1.534061974890188e-05
1937,1.534061974890188e-05
6978,1.534061974890188e-05
6627,1.5547925421184337e-05
3889,1.5547925421184337e-05
6638,1.5547925421184337e-05
1941,1.5547925421184337e-05
4178,1.5547925421184337e-05
3695,1.5547925421184337e-05
1394,1.5547925421184337e-05
1614,1.5547925421184337e-05
4331,1.5547925421184337e-05
4114,1.5547925421184337e-05
4080,1.5547925421184337e-05
6754,1.5547925421184337e-05
3914,1.5547925421184337e-05
2034,1.576091070092659e-05
5879,1.576091070092659e-05
4200,1.576091070092659e-05
4424,1.576091070092659e-05
7062,1.576091070092659e-05
2920,1.576091070092659e-05
85,1.576091070092659e-05
3457,1.576091070092659e-05
2732,1.5979812238439455e-05
6293,1.5979812238439455e-05
3057,1.5979812238439455e-05
7264,1.5979812238439455e-05
2468,1.5979812238439455e-05
4687,1.5979812238439455e-05
6136,1.5979812238439455e-05
7228,1.5979812238439455e-05
7090,1.5979812238439455e-05
5024,1.5979812238439455e-05
5066,1.5979812238439455e-05
6113,1.5979812238439455e-05
7186,1.6204880016445646e-05
986,1.6204880016445646e-05
4574,1.6204880016445646e-05
697,1.6204880016445646e-05
4656,1.6204880016445646e-05
420,1.6204880016445646e-05
446,1.6204880016445646e-05
6253,1.643637830239487e-05
6917,1.643637830239487e-05
2138,1.643637830239487e-05
936,1.643637830239487e-05
5192,1.6674586683589e-05
1935,1.6674586683589e-05
1686,1.6674586683589e-05
6680,1.6674586683589e-05
7594,1.6919801193641777e-05
32,1.6919801193641777e-05
2827,1.6919801193641777e-05
2557,1.6919801193641777e-05
544,1.7172335539815535e-05
1848,1.7172335539815535e-05
573,1.7172335539815535e-05
2667,1.7172335539815535e-05
5408,1.7172335539815535e-05
5040,1.7432522441933955e-05
625,1.7432522441933955e-05
5911,1.7432522441933955e-05
7747,1.7700715094886785e-05
5113,1.7700715094886785e-05
6155,1.7977288768244387e-05
1067,1.7977288768244387e-05
551,1.7977288768244387e-05
6248,1.7977288768244387e-05
1597,1.7977288768244387e-05
6779,1.7977288768244387e-05
4444,1.826264255821652e-05
1741,1.826264255821652e-05
1049,1.826264255821652e-05
257,1.826264255821652e-05
14,1.826264255821652e-05
5992,1.8557201309155498e-05
1073,1.8557201309155498e-05
5527,1.886141772405969e-05
847,1.886141772405969e-05
6161,1.886141772405969e-05
6763,1.886141772405969e-05
7166,1.917577468612735e-05
4696,1.917577468612735e-05
2502,1.917577468612735e-05
5625,1.917577468612735e-05
7203,1.917577468612735e-05
7053,1.9500787816400694e-05
4876,1.9500787816400694e-05
4272,1.9500787816400694e-05
5579,1.9500787816400694e-05
4789,1.9500787816400694e-05
4829,1.9500787816400694e-05
6929,1.983700829599381e-05
7070,1.983700829599381e-05
4563,1.983700829599381e-05
7525,1.983700829599381e-05
3729,1.983700829599381e-05
6174,2.0185025985397208e-05
1329,2.0185025985397208e-05
5556,2.0185025985397208e-05
775,2.0185025985397208e-05
1102,2.0185025985397208e-05
931,2.0185025985397208e-05
860,2.0545472877993586e-05
2751,2.0545472877993586e-05
334,2.0545472877993586e-05
1468,2.0545472877993586e-05
4531,2.0545472877993586e-05
3667,2.0545472877993586e-05
956,2.0545472877993586e-05
5604,2.0545472877993586e-05
6147,2.0545472877993586e-05
845,2.0919026930320743e-05
2852,2.1306416317919275e-05
3929,2.1306416317919275e-05
5251,2.1306416317919275e-05
7323,2.1708424172974356e-05
2533,2.1708424172974356e-05
7462,2.1708424172974356e-05
662,2.1708424172974356e-05
6168,2.212589386860848e-05
6996,2.212589386860848e-05
1847,2.212589386860848e-05
4176,2.212589386860848e-05
7072,2.212589386860848e-05
5834,2.212589386860848e-05
2385,2.212589386860848e-05
1594,2.212589386860848e-05
6901,2.212589386860848e-05
4473,2.212589386860848e-05
1446,2.212589386860848e-05
1720,2.212589386860848e-05
4108,2.212589386860848e-05
3129,2.212589386860848e-05
6534,2.2559734924855705e-05
4455,2.2559734924855705e-05
5355,2.2559734924855705e-05
6187,2.2559734924855705e-05
4247,2.301092962335282e-05
2607,2.301092962335282e-05
630,2.301092962335282e-05
3592,2.301092962335282e-05
4215,2.301092962335282e-05
3213,2.301092962335282e-05
3422,2.301092962335282e-05
2696,2.301092962335282e-05
3368,2.301092962335282e-05
3854,2.348054043199267e-05
2691,2.348054043199267e-05
4741,2.348054043199267e-05
2905,2.348054043199267e-05
5197,2.348054043199267e-05
6453,2.3969718357659185e-05
2657,2.3969718357659185e-05
4197,2.3969718357659185e-05
6762,2.3969718357659185e-05
4249,2.3969718357659185e-05
1559,2.3969718357659185e-05
6500,2.3969718357659185e-05
4495,2.3969718357659185e-05
5759,2.3969718357659185e-05
1876,2.3969718357659185e-05
3467,2.3969718357659185e-05
4382,2.3969718357659185e-05
1529,2.3969718357659185e-05
4181,2.3969718357659185e-05
6029,2.3969718357659185e-05
5128,2.3969718357659185e-05
4903,2.3969718357659185e-05
2161,2.4479712365268954e-05
1022,2.4479712365268954e-05
2350,2.4479712365268954e-05
677,2.4479712365268954e-05
817,2.4479712365268954e-05
553,2.4479712365268954e-05
7597,2.5011880025383496e-05
5637,2.5011880025383496e-05
2130,2.5011880025383496e-05
585,2.5011880025383496e-05
4089,2.5011880025383496e-05
4219,2.5011880025383496e-05
1953,2.556769958150313e-05
3404,2.556769958150313e-05
5993,2.556769958150313e-05
6100,2.556769958150313e-05
6984,2.614878366290093e-05
480,2.614878366290093e-05
6209,2.614878366290093e-05
1050,2.614878366290093e-05
4375,2.614878366290093e-05
927,2.614878366290093e-05
5002,2.614878366290093e-05
2191,2.614878366290093e-05
180,2.614878366290093e-05
1701,2.614878366290093e-05
1575,2.675689491087537e-05
5559,2.675689491087537e-05
6458,2.675689491087537e-05
1853,2.675689491087537e-05
1882,2.675689491087537e-05
441,2.675689491087537e-05
7760,2.675689491087537e-05
7133,2.675689491087537e-05
4041,2.675689491087537e-05
5000,2.675689491087537e-05
1202,2.7393963837324782e-05
6494,2.7393963837324782e-05
3747,2.7393963837324782e-05
4986,2.7393963837324782e-05
738,2.7393963837324782e-05
1140,2.7393963837324782e-05
2660,2.7393963837324782e-05
5933,2.7393963837324782e-05
0,2.7393963837324782e-05
7485,2.7393963837324782e-05
3935,2.806210929677173e-05
3997,2.806210929677173e-05
3917,2.806210929677173e-05
4290,2.8763662029191025e-05
2452,2.8763662029191025e-05
7101,2.8763662029191025e-05
4456,2.8763662029191025e-05
3494,2.8763662029191025e-05
6345,2.8763662029191025e-05
838,2.8763662029191025e-05
5160,2.8763662029191025e-05
7409,2.8763662029191025e-05
2482,2.8763662029191025e-05
972,2.8763662029191025e-05
496,2.8763662029191025e-05
4888,2.8763662029191025e-05
6390,2.8763662029191025e-05
6580,2.8763662029191025e-05
5517,2.8763662029191025e-05
1457,2.8763662029191025e-05
6507,2.8763662029191025e-05
3115,2.8763662029191025e-05
6631,2.8763662029191025e-05
2122,2.8763662029191025e-05
5319,2.8763662029191025e-05
5735,2.8763662029191025e-05
5839,2.8763662029191025e-05
4454,2.8763662029191025e-05
3359,2.8763662029191025e-05
3431,2.8763662029191025e-05
4679,2.8763662029191025e-05
226,2.8763662029191025e-05
4707,2.9501191824811306e-05
1040,2.9501191824811306e-05
2991,2.9501191824811306e-05
4893,2.9501191824811306e-05
5569,2.9501191824811306e-05
5873,2.9501191824811306e-05
1516,2.9501191824811306e-05
2048,2.9501191824811306e-05
3628,2.9501191824811306e-05
3324,2.9501191824811306e-05
1505,2.9501191824811306e-05
7021,2.9501191824811306e-05
2897,2.9501191824811306e-05
7504,2.9501191824811306e-05
1617,2.9501191824811306e-05
6019,2.9501191824811306e-05
4628,2.9501191824811306e-05
6874,2.9501191824811306e-05
2365,2.9501191824811306e-05
6635,3.0277538978095812e-05
5362,3.0277538978095812e-05
5069,3.0277538978095812e-05
5521,3.0277538978095812e-05
6656,3.0277538978095812e-05
5760,3.0277538978095812e-05
2759,3.0277538978095812e-05
2777,3.0277538978095812e-05
2347,3.0277538978095812e-05
5545,3.0277538978095812e-05
6597,3.0277538978095812e-05
6487,3.1095850842368674e-05
3442,3.1095850842368674e-05
6265,3.1095850842368674e-05
761,3.1095850842368674e-05
2941,3.1095850842368674e-05
3327,3.1095850842368674e-05
6206,3.1095850842368674e-05
20,3.1095850842368674e-05
7607,3.1095850842368674e-05
7403,3.1095850842368674e-05
5109,3.1095850842368674e-05
6600,3.195962447687891e-05
2044,3.195962447687891e-05
5861,3.195962447687891e-05
1460,3.195962447687891e-05
4074,3.195962447687891e-05
7058,3.195962447687891e-05
5973,3.195962447687891e-05
7500,3.195962447687891e-05
1197,3.195962447687891e-05
1169,3.195962447687891e-05
1254,3.195962447687891e-05
4516,3.195962447687891e-05
297,3.195962447687891e-05
7731,3.195962447687891e-05
2543,3.195962447687891e-05
3934,3.195962447687891e-05
35,3.195962447687891e-05
892,3.195962447687891e-05
6618,3.195962447687891e-05
3910,3.195962447687891e-05
5920,3.195962447687891e-05
6739,3.195962447687891e-05
3864,3.195962447687891e-05
7639,3.195962447687891e-05
5093,3.195962447687891e-05
2290,3.195962447687891e-05
4398,3.195962447687891e-05
3621,3.195962447687891e-05
2708,3.195962447687891e-05
1767,3.195962447687891e-05
5138,3.195962447687891e-05
2417,3.195962447687891e-05
3794,3.195962447687891e-05
6735,3.195962447687891e-05
5330,3.195962447687891e-05
1796,3.287275660478974e-05
198,3.287275660478974e-05
3514,3.287275660478974e-05
7318,3.287275660478974e-05
5039,3.287275660478974e-05
2403,3.287275660478974e-05
5550,3.287275660478974e-05
3572,3.287275660478974e-05
3090,3.287275660478974e-05
5909,3.287275660478974e-05
4033,3.287275660478974e-05
356,3.287275660478974e-05
6069,3.287275660478974e-05
2222,3.287275660478974e-05
1816,3.287275660478974e-05
3419,3.287275660478974e-05
5322,3.287275660478974e-05
7165,3.287275660478974e-05
621,3.3839602387283554e-05
1914,3.3839602387283554e-05
4835,3.3839602387283554e-05
4281,3.3839602387283554e-05
5332,3.3839602387283554e-05
7634,3.3839602387283554e-05
942,3.3839602387283554e-05
4174,3.3839602387283554e-05
4907,3.3839602387283554e-05
5551,3.3839602387283554e-05
2520,3.3839602387283554e-05
4512,3.3839602387283554e-05
176,3.3839602387283554e-05
1834,3.3839602387283554e-05
1655,3.3839602387283554e-05
841,3.3839602387283554e-05
5794,3.3839602387283554e-05
5043,3.486504488386791e-05
4378,3.486504488386791e-05
7369,3.486504488386791e-05
708,3.486504488386791e-05
279,3.5954577536488775e-05
713,3.5954577536488775e-05
6918,3.5954577536488775e-05
2706,3.5954577536488775e-05
24,3.5954577536488775e-05
4201,3.5954577536488775e-05
3998,3.5954577536488775e-05
5493,3.5954577536488775e-05
6723,3.5954577536488775e-05
1222,3.5954577536488775e-05
2474,3.5954577536488775e-05
4837,3.5954577536488775e-05
5945,3.5954577536488775e-05
6077,3.5954577536488775e-05
6554,3.5954577536488775e-05
11,3.5954577536488775e-05
1711,3.5954577536488775e-05
776,3.5954577536488775e-05
5506,3.5954577536488775e-05
4824,3.5954577536488775e-05
580,3.5954577536488775e-05
4999,3.5954577536488775e-05
2076,3.5954577536488775e-05
6231,3.5954577536488775e-05
2690,3.5954577536488775e-05
141,3.5954577536488775e-05
2968,3.5954577536488775e-05
438,3.5954577536488775e-05
6836,3.5954577536488775e-05
1817,3.5954577536488775e-05
744,3.5954577536488775e-05
5984,3.5954577536488775e-05
4956,3.5954577536488775e-05
194,3.5954577536488775e-05
4198,3.5954577536488775e-05
5021,3.5954577536488775e-05
1298,3.5954577536488775e-05
6214,3.5954577536488775e-05
6273,3.5954577536488775e-05
2676,3.5954577536488775e-05
3732,3.5954577536488775e-05
1209,3.5954577536488775e-05
7631,3.5954577536488775e-05
2063,3.5954577536488775e-05
4027,3.5954577536488775e-05
4184,3.5954577536488775e-05
6812,3.5954577536488775e-05
6902,3.7114402618310996e-05
6223,3.7114402618310996e-05
4366,3.7114402618310996e-05
1984,3.7114402618310996e-05
5402,3.7114402618310996e-05
1995,3.7114402618310996e-05
4373,3.7114402618310996e-05
6569,3.7114402618310996e-05
